marka,model,raw_real_count,train_real_count,unique_year_count,min_year,max_year,min_km,median_km,max_km,min_price,median_price,max_price,price_cv,price_age_corr,current_hp_support,current_hp_source,current_hp_method,source_distribution,arabam_count,kaggle_count,in_ui_catalog,synthetic_candidate,priority,recommended_synthetic_count,reason,synthetic_safe,safety_reason,interpolation_year_range,interpolation_km_range,interpolation_price_range,exclude,second_wave_score,risk_notes,proposed_synthetic_count,current_scrape_ratio,actual,pred,abs_err,pct_err,confidence,hp_support_conf
Dodge,Ram,5,4,3,2004.0,2025.0,0.0,23250.5,225000.0,2850000.0,6375000.0,7850000.0,0.3312,-0.9876,4,brand_model,theil_sen,arabam=5,5,0,True,True,CRITICAL,8,"train support 4 (3-7 bandi, +20); synthetic_safe=true (+15); 3 farkli yil (+10); 5 guncel arabam- kayit (+15); premium/high-value (medyan 6,375,000 >= 2,393,000) (+10); dusuk hp_support/zayif fallback (4, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2004-2025,"0-225,000","2,850,000-7,850,000",False,100,yok,6,1.0,7250000.0,14511531.074348902,7261531.074348902,100.15904930136418,low,4.0
Rolls-Royce,Wraith,6,6,3,2014.0,2016.0,15000.0,48000.0,87600.0,26400000.0,27750000.0,31900000.0,0.0757,-0.0275,6,brand_model,theil_sen,"arabam=2, kaggle=4",2,4,True,True,CRITICAL,9,"train support 6 (3-7 bandi, +20); synthetic_safe=true (+15); 3 farkli yil (+10); 2 guncel arabam- kayit (+15); premium/high-value (medyan 27,750,000 >= 2,393,000) (+10); dusuk hp_support/zayif fallback (6, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2014-2016,"15,000-87,600","26,400,000-31,900,000",False,100,yok,6,0.3333333333333333,28500000.0,25606890.20202847,2893109.7979715317,10.15126244902292,low,6.0
Lexus,LS,5,5,4,2015.0,2022.0,23665.0,75000.0,184000.0,5675000.0,8450000.0,9950000.0,0.2263,-0.907,5,brand_model,theil_sen,"arabam=2, kaggle=3",2,3,True,True,CRITICAL,10,"train support 5 (3-7 bandi, +20); synthetic_safe=true (+15); 4 farkli yil (+10); 2 guncel arabam- kayit (+15); premium/high-value (medyan 8,450,000 >= 2,393,000) (+10); dusuk hp_support/zayif fallback (5, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2015-2022,"23,665-184,000","5,675,000-9,950,000",False,100,yok,6,0.4,8450000.0,9994013.159929303,1544013.1599293035,18.27234508792075,low,5.0
Aston Martin,Vantage,7,6,4,2007.0,2015.0,22000.0,41050.0,108000.0,4650000.0,5770000.0,8450000.0,0.2275,-0.6539,6,brand_model,theil_sen,"arabam=2, kaggle=5",2,5,True,True,CRITICAL,9,"train support 6 (3-7 bandi, +20); synthetic_safe=true (+15); 4 farkli yil (+10); 2 guncel arabam- kayit (+15); premium/high-value (medyan 5,770,000 >= 2,393,000) (+10); dusuk hp_support/zayif fallback (6, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2007-2015,"22,000-108,000","4,650,000-8,450,000",False,100,yok,6,0.2857142857142857,5950000.0,5368778.323598635,581221.6764013646,9.768431536157388,low,6.0
Bentley,Flying Spur,7,7,4,2013.0,2022.0,37692.0,74350.0,125000.0,10500000.0,14500000.0,35000000.0,0.4846,-0.966,7,brand_model,theil_sen,"arabam=4, kaggle=3",4,3,True,True,CRITICAL,10,"train support 7 (3-7 bandi, +20); synthetic_safe=true (+15); 4 farkli yil (+10); 4 guncel arabam- kayit (+15); premium/high-value (medyan 14,500,000 >= 2,393,000) (+10); dusuk hp_support/zayif fallback (7, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2013-2022,"37,692-125,000","10,500,000-35,000,000",False,100,yok,6,0.5714285714285714,14500000.0,12711639.330350067,1788360.6696499325,12.333521859654706,low,7.0
Mercedes - Benz,Maybach S,25,6,4,2015.0,2019.0,102000.0,131500.0,240869.0,7950000.0,10600000.0,11900000.0,0.1413,-0.9062,6,brand_model,theil_sen,"arabam=16, kaggle=9",16,9,True,True,HIGH,5,"train support 6 (3-7 bandi, +20); synthetic_safe=true (+15); 4 farkli yil (+10); 16 guncel arabam- kayit (+15); premium/high-value (medyan 10,600,000 >= 2,393,000) (+10); dusuk hp_support/zayif fallback (6, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2015-2019,"102,000-240,869","7,950,000-11,900,000",False,100,yok,6,0.64,11250000.0,9586531.533788202,1663468.4662117977,14.78638636632709,low,6.0
Mercedes - Benz,V Serisi,18,9,6,2015.0,2024.0,19660.0,75000.0,275000.0,3150000.0,5850000.0,8750000.0,0.3612,-0.4058,9,brand_model,theil_sen,arabam=18,18,0,True,True,HIGH,7,"train support 9 (8-12 bandi, +12); synthetic_safe=true (+15); 6 farkli yil (+10); 18 guncel arabam- kayit (+15); premium/high-value (medyan 5,850,000 >= 2,393,000) (+10); dusuk hp_support/zayif fallback (9, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2015-2024,"19,660-275,000","3,150,000-8,750,000",False,92,yok,5,1.0,5850000.0,4946063.436917802,903936.5630821977,15.451907061234147,low,9.0
Audi,RS,35,9,4,2001.0,2016.0,99000.0,130000.0,238000.0,2400000.0,6395000.0,7999000.0,0.3355,-0.4057,9,brand_model,theil_sen,"arabam=21, kaggle=14",21,14,True,True,HIGH,7,"train support 9 (8-12 bandi, +12); synthetic_safe=true (+15); 4 farkli yil (+10); 21 guncel arabam- kayit (+15); premium/high-value (medyan 6,395,000 >= 2,393,000) (+10); dusuk hp_support/zayif fallback (9, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2001-2016,"99,000-238,000","2,400,000-7,999,000",False,92,yok,5,0.6,6395000.0,9219869.605791183,2824869.605791183,44.173097823161584,low,9.0
Lexus,ES,7,7,3,2019.0,2023.0,24000.0,83337.0,162000.0,2450000.0,3925000.0,5250000.0,0.2385,-0.7933,7,brand_model,theil_sen,"arabam=2, kaggle=5",2,5,True,True,CRITICAL,10,"train support 7 (3-7 bandi, +20); synthetic_safe=true (+15); 3 farkli yil (+10); 2 guncel arabam- kayit (+15); premium/high-value (medyan 3,925,000 >= 2,393,000) (+10); dusuk hp_support/zayif fallback (7, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2019-2023,"24,000-162,000","2,450,000-5,250,000",False,90,yok,6,0.2857142857142857,3925000.0,3699653.0352278445,225346.9647721555,5.741323943239631,low,7.0
Renault,Twizy,4,4,4,2013.0,2018.0,12000.0,27415.5,43000.0,365000.0,377450.0,480000.0,0.1183,0.3258,4,brand_model,theil_sen,"arabam=2, kaggle=2",2,2,True,True,CRITICAL,8,"train support 4 (3-7 bandi, +20); synthetic_safe=true (+15); 4 farkli yil (+10); 2 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (4, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2013-2018,"12,000-43,000","365,000-480,000",False,90,yok,6,0.5,365000.0,511481.347083899,146481.34708389902,40.131875913396996,low,3.0
